repetition,rows,maeWins,rmseWins,r2,biasWins,predictionStdWins,actualStdWins,predictionRangeWins,actualRangeWins
76,300,9.885643481025939,12.215311182938388,-0.03315582586912402,0.01625584599009308,5.609378125202508,12.01770725259019,35.006888824066216,54.00000037999999
77,300,11.75286451831974,14.155612974258533,-0.38743970667756256,0.017389720131612153,5.643726416647662,12.01770725259019,33.42211496443852,54.00000037999999
78,300,10.850496736079794,13.341538224852114,-0.23244789850879788,0.011402162932120739,5.78040311252863,12.01770725259019,35.44022767515783,54.00000037999999
79,300,9.826396181555799,11.920149471919466,0.016169773415165234,0.013918866958713198,5.502221720019673,12.01770725259019,38.710202989791696,54.00000037999999
80,300,11.800237274731892,14.583535398519667,-0.4725918725238769,0.016913173535442094,5.82935425650066,12.01770725259019,37.092136293219895,54.00000037999999
81,300,10.685015781760951,13.361570103192042,-0.2361516364495777,0.01474452212391455,5.670815345830954,12.01770725259019,39.29390815369369,54.00000037999999
82,300,11.32004833728031,13.958818431802172,-0.34913085677617417,0.013786023833329821,5.811006258241045,12.01770725259019,37.208371692963254,54.00000037999999
83,300,11.846923867957287,14.620409162457245,-0.4800480415619697,0.018101060241329788,5.850697919045387,12.01770725259019,38.723695726435444,54.00000037999999
84,300,10.48989168805944,13.026620484014765,-0.174952420340736,0.013152067851459618,5.873396909080934,12.01770725259019,38.47784694376954,54.00000037999999
85,300,11.004671867883781,13.655367084437788,-0.29111081097947644,0.015240275890797376,5.727186370600484,12.01770725259019,35.44200906624997,54.00000037999999
86,300,9.904420664278097,12.47297663477255,-0.07720156703313696,0.01913788801133002,5.5299838136017865,12.01770725259019,34.423667501178954,54.00000037999999
87,300,11.182916592412916,13.80545445326084,-0.3196482126945548,0.01241485248780337,5.757495514020116,12.01770725259019,36.62592943630544,54.00000037999999
88,300,10.418275282762647,12.935335701124998,-0.15854302574655055,0.014109481235529298,5.753121185371896,12.01770725259019,38.32728246484538,54.00000037999999
89,300,10.949644045248466,13.267028670803231,-0.2187204378535481,0.013833236533221686,5.748406359427309,12.01770725259019,36.69816692660263,54.00000037999999
90,300,10.801557027373313,13.373482932760046,-0.23835686058713423,0.012350433597097777,5.602871904949058,12.01770725259019,36.13820311013855,54.00000037999999
91,300,11.68694659135328,14.226780254340072,-0.4014254688783836,0.019176712792506278,5.579881629043384,12.01770725259019,36.682050086324644,54.00000037999999
92,300,10.846782479271512,13.455800332002015,-0.25364862048905,0.0159376025229099,5.949934724565048,12.01770725259019,37.55594467665699,54.00000037999999
93,300,10.114466339370178,12.585028767115194,-0.09664278113088787,0.015297017427435182,5.59406854990928,12.01770725259019,36.227442144898006,54.00000037999999
94,300,10.103062236396315,12.393195965919332,-0.06346546918804141,0.013362991336290975,5.579900588651518,12.01770725259019,34.532348951125215,54.00000037999999
95,300,10.86982567936445,13.423924906350914,-0.2477161228112401,0.01601194933750821,5.638995507486687,12.01770725259019,34.80189784936732,54.00000037999999
96,300,10.3691036120101,12.993278257425457,-0.16894542963965486,0.019068228158624738,5.876328872385618,12.01770725259019,38.959139777831325,54.00000037999999
97,300,10.901818080150809,13.385090661404487,-0.2405074968526777,0.00966604866006301,5.671587349999619,12.01770725259019,33.86313986936173,54.00000037999999
