team,season,season_end_year,wins,losses,win_pct,predicted_win_pct,training_seasons,selected_model,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,predicted_wins,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
Los Angeles Clippers,2017-18,2018,42,40,0.5121951,0.6682964228052253,4,random_forest,43.5,42,40,under,+19000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,54.800306670028476,over,11.300306670028476,42.0,12.800306670028476,1.5,loss,10.0,-10.0,0.0
Los Angeles Lakers,2017-18,2018,35,47,0.42682928,0.5427261213375268,4,random_forest,33.5,35,47,over,+30000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,44.5035419496772,over,11.0035419496772,35.0,9.5035419496772,1.5,win,10.0,9.090909090909092,19.090909090909093
Memphis Grizzlies,2017-18,2018,22,60,0.2682927,0.5929293972499687,4,random_forest,37.5,22,60,under,+37000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,48.620210574497435,over,11.120210574497435,22.0,26.620210574497435,15.5,loss,10.0,-10.0,0.0
Miami Heat,2017-18,2018,44,38,0.5365854,0.5817150963949526,4,random_forest,43.5,44,38,over,+24000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,47.70063790438611,over,4.200637904386113,44.0,3.700637904386113,0.5,win,10.0,9.090909090909092,19.090909090909093
Milwaukee Bucks,2017-18,2018,44,38,0.5365854,0.5685384159656401,4,random_forest,47.5,44,38,under,+8000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,46.62015010918249,under,-0.8798498908175105,44.0,2.6201501091824895,3.5,win,10.0,9.090909090909092,19.090909090909093
Minnesota Timberwolves,2017-18,2018,47,35,0.5731707,0.6573576086584826,4,random_forest,48.5,47,35,under,+5000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,53.90332390999557,over,5.403323909995571,47.0,6.903323909995571,1.5,loss,10.0,-10.0,0.0
New Orleans Pelicans,2017-18,2018,48,34,0.58536583,0.6226776599522146,4,random_forest,39.5,48,34,over,+22000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,51.05956811608159,over,11.559568116081593,48.0,3.059568116081593,8.5,win,10.0,9.090909090909092,19.090909090909093
New York Knicks,2017-18,2018,29,53,0.35365853,0.4405797357204552,4,random_forest,30.5,29,53,under,+100000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,36.127538329077325,over,5.627538329077325,29.0,7.127538329077325,1.5,loss,10.0,-10.0,0.0
Oklahoma City Thunder,2017-18,2018,48,34,0.58536583,0.660591255406426,4,random_forest,53.5,48,34,under,+2150,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,54.168482943326936,over,0.6684829433269357,48.0,6.168482943326936,5.5,loss,10.0,-10.0,0.0
Orlando Magic,2017-18,2018,25,57,0.30487806,0.39103410296918517,4,random_forest,33.5,25,57,under,+250000,https://www.basketball-reference.com/leagues/NBA_2018_preseason_odds.html,82,32.064796443473185,under,-1.4352035565268153,25.0,7.064796443473185,8.5,win,10.0,9.090909090909092,19.090909090909093
