team,season,season_end_year,wins,losses,win_pct,predicted_win_pct,training_seasons,selected_model,win_total_line,actual_wins_odds_source,actual_losses_odds_source,source_result,championship_odds,source_url,scheduled_games_for_line,predicted_wins_82,predicted_wins,predicted_wins_for_line,pick,model_edge_wins,comparison_actual_wins,model_abs_error_wins,market_abs_error_wins,grade,stake,profit,cash_return
Atlanta Hawks,2018-19,2019,29,53,0.35365853,0.380613022143053,5,extra_trees,23.5,29,53,over,+150000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,31.210267815730344,31.210267815730344,31.210267815730344,over,7.710267815730344,29.0,2.2102678157303437,5.5,win,10.0,9.090909090909092,19.090909090909093
Boston Celtics,2018-19,2019,49,33,0.597561,0.6804013692929601,5,extra_trees,59.0,49,33,under,+620,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,55.79291228202273,55.79291228202273,55.79291228202273,under,-3.2070877179772665,49.0,6.7929122820227335,10.0,win,10.0,9.090909090909092,19.090909090909093
Brooklyn Nets,2018-19,2019,42,40,0.5121951,0.4641329268671539,5,extra_trees,32.0,42,40,over,+125000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,38.05890000310662,38.05890000310662,38.05890000310662,over,6.058900003106622,42.0,3.941099996893378,10.0,win,10.0,9.090909090909092,19.090909090909093
Charlotte Hornets,2018-19,2019,39,43,0.47560975,0.42817175911551053,5,extra_trees,35.5,39,43,over,+50000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,35.11008424747186,35.11008424747186,35.11008424747186,under,-0.3899157525281396,39.0,3.8899157525281396,3.5,loss,10.0,-10.0,0.0
Chicago Bulls,2018-19,2019,22,60,0.2682927,0.46305328907292176,5,extra_trees,30.0,22,60,under,+50000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,37.970369703979586,37.970369703979586,37.970369703979586,over,7.9703697039795856,22.0,15.970369703979586,8.0,loss,10.0,-10.0,0.0
Cleveland Cavaliers,2018-19,2019,19,63,0.23170732,0.3928729504112988,5,extra_trees,30.5,19,63,under,+50000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,32.215581933726504,32.215581933726504,32.215581933726504,over,1.7155819337265044,19.0,13.215581933726504,11.5,loss,10.0,-10.0,0.0
Dallas Mavericks,2018-19,2019,33,49,0.40243903,0.513124737645452,5,extra_trees,35.5,33,49,under,+35000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,42.076228486927064,42.076228486927064,42.076228486927064,over,6.576228486927064,33.0,9.076228486927064,2.5,loss,10.0,-10.0,0.0
Denver Nuggets,2018-19,2019,54,28,0.6585366,0.6261906590066144,5,extra_trees,47.5,54,28,over,+20000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,51.34763403854238,51.34763403854238,51.34763403854238,over,3.847634038542381,54.0,2.652365961457619,6.5,win,10.0,9.090909090909092,19.090909090909093
Detroit Pistons,2018-19,2019,41,41,0.5,0.5456460727878291,5,extra_trees,38.5,41,41,over,+35000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,44.742977968601984,44.742977968601984,44.742977968601984,over,6.242977968601984,41.0,3.742977968601984,2.5,win,10.0,9.090909090909092,19.090909090909093
Golden State Warriors,2018-19,2019,57,25,0.69512194,0.6508650885559989,5,extra_trees,62.5,57,25,under,-168,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,53.37093726159191,53.37093726159191,53.37093726159191,under,-9.129062738408088,57.0,3.629062738408088,5.5,win,10.0,9.090909090909092,19.090909090909093
Houston Rockets,2018-19,2019,53,29,0.64634144,0.7284524167376595,5,extra_trees,56.5,53,29,under,+1000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,59.73309817248808,59.73309817248808,59.73309817248808,over,3.233098172488077,53.0,6.733098172488077,3.5,loss,10.0,-10.0,0.0
Indiana Pacers,2018-19,2019,48,34,0.58536583,0.5113415520693017,5,extra_trees,47.5,48,34,over,+12500,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,41.93000726968273,41.93000726968273,41.93000726968273,under,-5.569992730317267,48.0,6.069992730317267,0.5,loss,10.0,-10.0,0.0
Los Angeles Clippers,2018-19,2019,48,34,0.58536583,0.4496405771267464,5,extra_trees,37.0,48,34,over,+40000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,36.8705273243932,36.8705273243932,36.8705273243932,under,-0.12947267560679876,48.0,11.129472675606799,11.0,loss,10.0,-10.0,0.0
Los Angeles Lakers,2018-19,2019,37,45,0.4512195,0.5571847923557665,5,extra_trees,48.5,37,45,under,+1800,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,45.68915297317285,45.68915297317285,45.68915297317285,under,-2.8108470268271475,37.0,8.689152973172853,11.5,win,10.0,9.090909090909092,19.090909090909093
Memphis Grizzlies,2018-19,2019,33,49,0.40243903,0.5040396953752113,5,extra_trees,34.5,33,49,under,+65000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,41.33125502076733,41.33125502076733,41.33125502076733,over,6.83125502076733,33.0,8.33125502076733,1.5,loss,10.0,-10.0,0.0
Miami Heat,2018-19,2019,39,43,0.47560975,0.5294650283649739,5,extra_trees,43.0,39,43,under,+35000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,43.41613232592786,43.41613232592786,43.41613232592786,over,0.41613232592786176,39.0,4.416132325927862,4.0,loss,10.0,-10.0,0.0
Milwaukee Bucks,2018-19,2019,60,22,0.73170733,0.5764516939950184,5,extra_trees,48.0,60,22,over,+10000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,47.26903890759151,47.26903890759151,47.26903890759151,under,-0.7309610924084922,60.0,12.730961092408492,12.0,loss,10.0,-10.0,0.0
Minnesota Timberwolves,2018-19,2019,36,46,0.4390244,0.6007509873109127,5,extra_trees,41.5,36,46,under,+25000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,49.26158095949484,49.26158095949484,49.26158095949484,over,7.761580959494843,36.0,13.261580959494843,5.5,loss,10.0,-10.0,0.0
New Orleans Pelicans,2018-19,2019,33,49,0.40243903,0.5891617432760174,5,extra_trees,45.5,33,49,under,+10000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,48.31126294863343,48.31126294863343,48.31126294863343,over,2.811262948633427,33.0,15.311262948633427,12.5,loss,10.0,-10.0,0.0
New York Knicks,2018-19,2019,17,65,0.20731707,0.340313421804078,5,extra_trees,28.5,17,65,under,+35000,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,27.905700587934394,27.905700587934394,27.905700587934394,under,-0.594299412065606,17.0,10.905700587934394,11.5,win,10.0,9.090909090909092,19.090909090909093
Oklahoma City Thunder,2018-19,2019,49,33,0.597561,0.6491373476927762,5,extra_trees,48.5,49,33,over,+3800,https://www.basketball-reference.com/leagues/NBA_2019_preseason_odds.html,82,53.22926251080765,53.22926251080765,53.22926251080765,over,4.729262510807651,49.0,4.229262510807651,0.5,win,10.0,9.090909090909092,19.090909090909093
